%time,field.data
1579093348954695334,538450.806084
1579093349062988771,538450.806084
1579093349178837157,538450.806084
1579093349291260230,538450.738638
1579093349401191844,538450.738638
1579093349512421167,538450.738638
1579093349626074604,538450.738638
1579093349739661792,538450.738638
1579093349850473406,538450.738638
1579093349962963146,538450.738638
1579093350073809344,538450.738638
1579093350184629917,538450.738638
1579093350289882990,538450.606389
1579093350404005021,538450.606389
1579093350516604552,538450.606389
1579093350634755281,538450.606389
1579093350857754812,538450.606389
1579093350858215489,538450.606389
1579093350964754396,538450.606389
1579093351079961375,538450.606389
1579093351184772729,538450.606389
1579093351299222573,538450.266512
1579093351409897052,538450.266512
1579093351521682000,538450.266512
1579093351634967520,538450.266512
1579093351748068666,538450.266512
1579093351864527260,538450.266512
1579093351973349395,538450.266512
1579093352084393249,538450.266512
1579093352195208770,538450.266512
1579093352305565489,538449.854782
1579093352420285749,538449.854782
1579093352528844499,538449.854782
1579093352639896322,538449.854782
1579093352758063874,538449.854782
1579093352868377468,538449.854782
1579093352979981114,538449.854782
1579093353091999968,538449.854782
1579093353206696270,538449.854782
1579093353319509395,538449.305514
1579093353427047363,538449.305514
1579093353541383822,538449.305514
1579093353648866582,538449.305514
1579093353753154551,538449.305514
1579093353865487467,538449.305514
1579093353974741374,538449.305514
1579093354094482207,538449.305514
1579093354328587363,538449.305514
1579093354333008821,538448.691445
1579093354422269759,538448.691445
1579093354533861425,538448.691445
1579093354652889342,538448.691445
1579093354759805175,538448.691445
1579093354871961530,538448.691445
1579093354981015800,538448.691445
1579093355218851321,538448.691445
1579093355219070592,538448.691445
1579093355317751998,538448.208743
1579093355425782623,538448.208743
1579093355539737154,538448.208743
1579093355654732988,538448.208743
1579093355763175279,538448.208743
1579093355877324810,538448.208743
1579093355981169289,538448.208743
1579093356092970487,538448.208743
1579093356210798873,538448.208743
1579093356314263352,538447.865341
1579093356429529133,538447.865341
1579093356541223091,538447.865341
1579093356657412050,538447.865341
1579093356764488925,538447.865341
1579093356888713143,538447.865341
1579093356984666685,538447.865341
1579093357100694081,538447.865341
1579093357215642414,538447.854765
1579093357320047154,538447.854765
1579093357425969237,538447.854765
1579093357547951789,538447.854765
1579093357648304653,538447.854765
1579093357760800018,538447.854765
1579093357875933976,538447.854765
1579093357986016060,538447.854765
1579093358095654237,538447.854765
1579093358210181997,538447.848595
1579093358330928299,538447.848595
1579093358432756424,538447.848595
1579093358548616007,538447.848595
1579093358659135955,538447.848595
1579093358765153143,538447.848595
1579093359380783351,538447.848595
1579093359380910903,538447.848595
1579093359381039132,538447.848595
1579093359381166476,538448.040358
1579093359381290174,538448.040358
1579093360542346527,538448.040358
1579093360542567673,538448.040358
1579093360542743454,538448.040358
1579093360547000382,538448.040358
1579093360547197361,538448.040358
1579093360547901944,538448.040358
1579093360554117361,538448.040358
1579093360554417829,538448.371421
1579093360560435642,538448.371421
1579093360560604600,538448.371421
1579093360577286944,538448.371421
1579093360654453298,538448.371421
1579093360770263663,538448.371421
1579093360891379236,538448.371421
1579093360992755642,538448.371421
1579093361104932621,538448.371421
1579093361215560485,538448.900416
1579093361324859912,538448.900416
1579093361437442100,538448.900416
1579093361547662308,538448.900416
1579093361663686735,538448.900416
1579093361780373766,538448.900416
1579093361890441006,538448.900416
1579093361993824860,538448.900416
1579093362108949964,538448.900416
1579093362216628870,538449.571354
1579093362329625641,538449.571354
1579093362441713402,538449.571354
1579093362554201631,538449.571354
1579093362666552516,538449.571354
1579093362783565329,538449.571354
1579093362888335537,538449.571354
1579093363001175849,538449.571354
1579093363115385693,538449.571354
1579093363224692620,538450.374541
1579093363348866422,538450.374541
1579093363458315172,538450.374541
1579093363559427880,538450.374541
1579093363679826578,538450.374541
1579093363798067776,538450.374541
1579093363898085589,538450.374541
1579093364006631578,538450.374541
1579093364444522828,538450.374541
1579093364444646474,538451.315265
1579093364444773088,538451.315265
1579093364444896370,538451.315265
1579093364563870120,538451.315265
1579093364678108870,538451.315265
1579093364789722724,538451.315265
1579093364896600692,538451.315265
1579093365003587724,538451.315265
1579093365126765015,538451.315265
1579093365230901265,538452.394407
1579093365340270015,538452.394407
1579093365460212203,538452.394407
1579093365815164494,538452.394407
1579093365831589911,538452.394407
1579093365839631838,538452.394407
1579093365904866734,538452.394407
1579093366014344702,538452.394407
1579093366122383452,538452.394407
1579093366235264442,538453.402576
1579093366348403036,538453.402576
1579093366461752202,538453.402576
1579093366573077931,538453.402576
1579093366688519546,538453.402576
1579093366801167150,538453.402576
1579093366914063869,538453.402576
1579093367026524181,538453.402576
1579093367143949285,538453.402576
1579093367252159910,538454.485244
1579093367367422150,538454.485244
1579093367478670691,538454.485244
1579093367583240275,538454.485244
1579093367694713400,538454.485244
1579093367808508191,538454.485244
1579093367919432983,538454.485244
1579093368032329285,538454.485244
1579093368143315014,538454.485244
1579093368256678451,538455.49694
1579093368368687306,538455.49694
1579093368480095066,538455.49694
1579093368592899128,538455.49694
1579093368706362878,538455.49694
1579093368819466264,538455.49694
1579093368932899910,538455.49694
1579093369045359857,538455.49694
1579093369156535066,538455.49694
1579093369269421784,538456.444715
1579093369384102774,538456.444715
1579093369494635691,538456.444715
1579093369607928347,538456.444715
1579093369720587461,538456.444715
1579093369832963399,538456.444715
1579093369946037565,538456.444715
1579093370057528138,538456.444715
1579093370170085117,538456.444715
1579093370284624649,538457.327689
1579093370396498971,538457.327689
1579093370506798867,538457.327689
1579093370622612148,538457.327689
1579093370734092148,538457.327689
1579093370849187721,538457.327689
1579093370953746888,538457.327689
1579093371065372930,538457.327689
1579093371178842721,538457.327689
1579093371289977982,538458.140572
1579093371401811940,538458.140572
1579093371518149492,538458.140572
1579093371627325898,538458.140572
1579093371741767565,538458.140572
