%time,field.data
1579093151766587232,20.0
1579093151883458430,20.0
1579093152002633846,20.0
1579093152116615201,20.0
1579093152227251867,20.0
1579093152344932909,20.0
1579093152455733378,20.0
1579093152576189211,20.0
1579093152704222700,20.0
1579093152817934315,20.0
1579093152929297023,20.0
1579093153042384888,20.0
1579093153157706086,20.0
1579093153276420929,20.0
1579093153391662336,20.0
1579093153504670981,20.0
1579093153620125304,20.0
1579093153734084262,20.0
1579093153844862804,20.0
1579093153953674627,20.0
1579093154065299471,20.0
1579093154175778221,20.0
1579093154293656814,20.0
1579093154409416502,20.0
1579093154522499887,20.0
1579093154634346710,20.0
1579093154746166866,20.0
1579093154865461762,20.0
1579093154979796606,20.0
1579093155093585929,20.0
1579093155208142074,20.0
1579093155321726241,20.0
1579093155432468845,20.0
1579093155552579158,20.0
1579093155666436501,20.0
1579093155775786553,20.0
1579093155895892855,20.0
1579093156004150407,20.0
1579093156120607126,20.0
1579093156236292907,20.0
1579093156357300355,20.0
1579093156468153376,20.0
1579093156576688011,20.0
1579093156690875303,20.0
1579093156806366657,20.0
1579093156921168688,20.0
1579093157031884990,20.0
1579093157155981865,20.0
1579093157259827126,20.0
1579093157372445199,18.0
1579093157477911032,17.0
1579093157591631136,17.0
1579093157840020198,18.0
1579093157852619313,18.0
1579093157934095771,14.0
1579093158050050771,15.0
1579093158165264886,12.0
1579093158281388584,20.0
1579093158390084261,17.0
1579093158507949573,21.0
1579093158615796448,21.0
1579093158732519521,19.0
1579093158859474625,21.0
1579093158970772906,20.0
1579093159087947698,16.0
1579093159205148844,25.0
1579093159316650979,25.0
1579093159429023583,24.0
1579093159552524000,22.0
1579093159657803427,23.0
1579093159774912802,20.0
1579093159889836864,17.0
1579093160004088843,17.0
1579093160121472177,16.0
1579093160233696604,20.0
1579093160346731239,19.0
1579093160461769208,21.0
1579093160579541760,18.0
1579093160694062958,21.0
1579093160800982229,17.0
1579093160913865197,19.0
1579093161027868270,19.0
1579093161134900353,21.0
1579093161256402905,24.0
1579093161366232749,26.0
1579093161475449312,27.0
1579093161595652853,28.0
1579093161705254572,23.0
1579093161821777436,31.0
1579093161933693478,35.0
1579093162046834363,31.0
1579093162162716291,35.0
1579093162279047384,41.0
1579093162392820249,31.0
1579093162502678842,25.0
1579093162623952540,22.0
1579093162730311707,23.0
1579093162852092436,26.0
1579093162966499311,23.0
1579093163076162853,27.0
1579093163188597592,21.0
1579093163307068686,28.0
1579093163422270248,21.0
1579093163530479363,18.0
1579093163647027384,25.0
1579093163759531967,25.0
1579093163879383894,17.0
1579093163987108581,17.0
1579093164103350665,18.0
1579093164213568581,21.0
1579093164326945717,21.0
1579093164435676029,17.0
1579093164553936810,19.0
1579093164683253946,19.0
1579093164797600821,17.0
1579093164906584727,19.0
1579093165023292435,16.0
1579093165140145977,21.0
1579093165251031185,21.0
1579093165367208581,13.0
1579093165483234570,16.0
1579093165592157852,18.0
1579093165714835925,16.0
1579093165827991758,18.0
1579093165940920352,27.0
1579093166055803216,28.0
1579093166165403529,28.0
1579093166276377226,22.0
1579093166397714674,25.0
1579093166509447331,30.0
1579093166619034935,21.0
1579093166737465664,17.0
1579093166844369205,18.0
1579093166958696393,18.0
1579093167073630872,6.0
1579093167191322174,13.0
1579093167300681601,21.0
1579093167421339153,22.0
1579093167530836288,26.0
1579093167646884101,36.0
1579093167755488632,23.0
1579093167877151445,26.0
1579093167987268736,40.0
1579093168099813215,33.0
1579093168214594569,29.0
1579093168337164257,24.0
1579093168450673580,33.0
1579093168560064048,40.0
1579093168680586236,31.0
1579093168789703996,30.0
1579093168904655819,39.0
1579093169022890142,30.0
1579093169132372538,26.0
1579093169245398892,18.0
1579093169364329152,17.0
1579093169479343631,17.0
1579093169610105767,20.0
1579093169720361027,21.0
1579093169834829308,20.0
1579093169950064360,21.0
1579093170067833162,22.0
1579093170187061235,21.0
1579093170294181860,19.0
1579093170410481131,16.0
1579093170531298266,14.0
1579093170642863162,14.0
1579093170755484673,13.0
1579093170877671808,13.0
1579093170985556860,13.0
1579093171097807120,13.0
1579093171205061652,13.0
1579093171318814412,13.0
1579093171438563370,13.0
1579093171551165974,13.0
1579093171669518631,13.0
1579093171774662433,13.0
1579093171892182797,13.0
1579093172006749412,13.0
1579093172116037589,13.0
1579093172227125297,13.0
1579093172339443162,13.0
1579093172457457589,13.0
1579093172569791859,13.0
1579093172685777693,13.0
1579093172797859411,13.0
1579093172912158786,13.0
1579093173026560870,14.0
1579093173141105818,13.0
1579093173254852328,14.0
1579093173372983005,13.0
1579093173486098265,13.0
1579093173601622119,14.0
1579093173715770765,14.0
1579093173832039359,14.0
1579093173946333005,14.0
1579093174057401026,15.0
1579093174174134671,15.0
1579093174290372692,15.0
1579093174403608265,14.0
1579093174521761286,13.0
1579093174649050348,12.0
1579093174761978942,13.0
1579093174871078629,14.0
1579093174989368004,14.0
1579093175098423525,14.0
1579093175213151390,14.0
1579093175329451494,14.0
1579093175442562379,14.0
1579093175560448473,14.0
1579093175669420504,14.0
1579093175784089827,14.0
1579093175901604254,14.0
1579093176012906494,14.0
1579093176127476910,14.0
1579093176241474098,14.0
1579093176359335243,14.0
1579093176468490191,14.0
1579093176584363108,14.0
1579093176699431181,13.0
1579093176819231233,13.0
1579093176926931441,13.0
1579093177045458160,13.0
1579093177156908316,13.0
1579093177276022274,13.0
1579093177389652743,13.0
1579093177504931701,13.0
1579093177623240139,13.0
1579093177738595087,13.0
1579093177851086232,13.0
1579093177959087639,14.0
1579093178071303524,13.0
1579093178178899357,13.0
1579093178298417430,13.0
1579093178413255555,13.0
1579093178526382222,13.0
1579093178641188107,13.0
1579093178753656961,13.0
1579093178870504774,13.0
1579093178982159670,13.0
1579093179099214774,13.0
1579093179212185347,13.0
1579093179324058628,13.0
1579093179431541336,13.0
1579093179545084878,13.0
1579093179663470503,13.0
1579093179778017690,13.0
1579093179889731128,13.0
1579093180010829773,13.0
1579093180134939617,13.0
1579093180242489929,13.0
1579093180356993731,13.0
1579093180473528471,13.0
1579093180590700450,13.0
1579093180701009929,13.0
1579093180818493210,13.0
1579093180928708054,13.0
1579093181040758835,13.0
1579093181160737898,13.0
1579093181274465242,13.0
1579093181388584981,13.0
1579093181494718054,13.0
1579093181608098419,13.0
1579093181723062689,13.0
1579093181836818106,13.0
1579093181949508523,13.0
1579093182061603523,13.0
1579093182177536804,13.0
1579093182292989043,13.0
1579093182408022533,13.0
1579093182517022481,13.0
1579093182635831074,13.0
1579093182750005814,13.0
1579093182856372220,13.0
1579093182973498053,13.0
1579093183085498210,13.0
1579093183198707897,13.0
1579093183314164147,13.0
1579093183429148887,13.0
1579093183541366074,13.0
1579093183658372064,13.0
1579093183770793730,13.0
1579093183886111855,13.0
1579093184004086595,13.0
1579093184111975813,13.0
1579093184231472011,13.0
1579093184345041542,13.0
1579093184453097376,13.0
1579093184573872792,13.0
1579093184682256751,13.0
1579093184802151438,13.0
1579093184909939511,13.0
1579093185018618053,13.0
1579093185136752532,13.0
1579093185244603209,13.0
1579093185365299146,13.0
1579093185481107011,13.0
1579093185588507375,13.0
1579093185700547740,13.0
1579093185818949875,13.0
1579093185935258052,13.0
1579093186049207427,13.0
1579093186159859198,13.0
1579093186274136542,13.0
1579093186385701125,13.0
1579093186517926281,13.0
1579093186626367115,13.0
1579093186745017219,13.0
1579093186853788417,13.0
1579093186971366281,14.0
1579093187088510760,14.0
1579093187196483885,14.0
1579093187311439927,14.0
1579093187425830395,14.0
1579093187545408052,14.0
1579093187660408677,14.0
1579093187767839927,13.0
1579093187887030031,13.0
1579093188000175760,13.0
1579093188107156281,14.0
1579093188222224510,14.0
1579093188335239041,13.0
1579093188448608728,13.0
1579093188556325343,13.0
1579093188674409197,13.0
1579093188789822166,14.0
1579093188897103937,13.0
1579093189011630499,14.0
1579093189132478311,14.0
1579093189244486645,14.0
1579093189357237426,14.0
1579093189470150082,14.0
1579093189578733103,14.0
1579093189698968884,14.0
1579093189807170342,14.0
1579093189921251957,14.0
1579093190034885238,14.0
1579093190147678259,14.0
1579093190260503988,14.0
1579093190375773467,14.0
1579093190492417061,14.0
1579093190611178884,14.0
1579093190722556853,14.0
1579093190839131227,15.0
1579093190954295238,15.0
1579093191068710290,15.0
1579093191182498832,15.0
1579093191295774769,15.0
1579093191405829561,14.0
1579093191526487946,14.0
1579093191638263779,14.0
1579093191747397633,14.0
1579093191858094300,14.0
1579093191975327321,14.0
1579093192087875862,14.0
1579093192201840810,14.0
1579093192313471227,14.0
1579093192430623310,14.0
1579093192540671435,14.0
1579093192655962216,14.0
1579093192764268362,14.0
1579093192884814404,14.0
1579093192998938362,13.0
1579093193123637529,13.0
1579093193235023102,13.0
1579093193349574404,13.0
1579093193463042008,13.0
1579093193581897893,13.0
1579093193695814403,13.0
1579093193808712841,13.0
1579093193920350289,13.0
1579093194031404820,13.0
1579093194152409820,13.0
1579093194260486226,13.0
1579093194383261799,13.0
1579093194495384143,13.0
1579093194608648309,13.0
1579093194716364820,13.0
1579093194830316070,13.0
1579093194944936486,13.0
1579093195062109507,13.0
1579093195172806486,13.0
1579093195283622059,13.0
1579093195395029611,13.0
1579093195511817632,13.0
1579093195624831122,13.0
1579093195740301903,13.0
1579093195879095132,13.0
1579093195995138934,13.0
1579093196106655861,13.0
1579093196220588465,13.0
1579093196337197423,13.0
1579093196454974663,13.0
1579093196578146382,13.0
1579093196679516382,13.0
1579093196797365496,13.0
1579093196910776850,13.0
1579093197041209142,13.0
1579093197151870131,13.0
1579093197266225392,13.0
1579093197732968829,13.0
1579093197737041433,13.0
1579093197844098881,13.0
1579093197850604975,13.0
1579093197853023985,13.0
1579093198109796693,13.0
1579093198118241121,13.0
1579093198188288568,13.0
1579093198304381016,13.0
1579093198417206433,13.0
1579093198525972943,13.0
1579093198637227995,13.0
1579093198751098724,13.0
1579093198863503256,13.0
1579093198980001693,13.0
1579093199091969662,13.0
