%time,field.data
1579093237519115897,5848207.2157
1579093237635104335,5848207.2157
1579093237749441991,5848207.2157
1579093237857789491,5848207.2157
1579093237970827876,5848207.2157
1579093238080486730,5848207.2157
1579093238191601470,5848207.2157
1579093238305014439,5848207.2157
1579093238423830897,5848207.2157
1579093238526642720,5848207.2157
1579093238640405168,5848207.2157
1579093238754999022,5848207.2157
1579093238864284022,5848207.2157
1579093238975695011,5848207.2157
1579093239088562980,5848207.2157
1579093239198065115,5848207.2157
1579093239306479230,5848207.21623
1579093239416234074,5848207.21623
1579093239531898761,5848207.21623
1579093239650047719,5848207.21623
1579093239753913136,5848207.21623
1579093239868274021,5848207.21623
1579093239983746677,5848207.21623
1579093240090084334,5848207.21623
1579093240205640636,5848207.21677
1579093240312879177,5848207.21677
1579093240420867875,5848207.21677
1579093240532623240,5848207.21677
1579093240642614802,5848207.21677
1579093240755947719,5848207.21677
1579093240866207354,5848207.21677
1579093240978196729,5848207.21677
1579093241087272562,5848207.21677
1579093241201725896,5848207.21677
1579093241316897146,5848207.21677
1579093241426668187,5848207.21677
1579093241538708448,5848207.21677
1579093241653017771,5848207.21677
1579093241766249437,5848207.21677
1579093241880975896,5848207.21677
1579093241989092093,5848207.21677
1579093242106914906,5848207.21677
1579093242215231260,5848207.2173
1579093242328202979,5848207.2173
1579093242437815791,5848207.2173
1579093242551751624,5848207.2173
1579093242658890062,5848207.2173
1579093242769884697,5848207.2173
1579093242876368343,5848207.2173
1579093242990983499,5848207.2173
1579093243101714020,5848207.2173
1579093243214308187,5848207.21677
1579093243332346468,5848207.21677
1579093243445652718,5848207.21677
1579093243553561468,5848207.21677
1579093243672655426,5848207.21677
1579093243782707770,5848207.21677
1579093243889279072,5848207.21677
1579093244010595061,5848207.21677
1579093244112568603,5848207.21677
1579093244227267145,5848206.77022
1579093244337439436,5848206.77022
1579093244450525009,5848206.77022
1579093244564497717,5848206.77022
1579093244678009488,5848206.77022
1579093244790775269,5848206.77022
1579093244899713967,5848206.77022
1579093245017437509,5848206.77022
1579093245124090321,5848206.77022
1579093245244347144,5848206.321
1579093245357157665,5848206.321
1579093245462446155,5848206.321
1579093245577823030,5848206.321
1579093245688981936,5848206.321
1579093245805731727,5848206.321
1579093246617224175,5848206.321
1579093246617371519,5848206.321
1579093246623254071,5848206.321
1579093246623380894,5848206.31672
1579093246623516571,5848206.31672
1579093246623787925,5848206.31672
1579093246623923185,5848206.31672
1579093246700412977,5848206.31672
1579093246801671467,5848206.31672
1579093246923099227,5848206.31672
1579093247025921362,5848206.31672
1579093247142524123,5848206.31672
1579093247250544435,5848205.9782
1579093247366390321,5848205.9782
1579093247469061675,5848205.9782
1579093247585986675,5848205.9782
1579093247696274643,5848205.9782
1579093247808178289,5848205.9782
1579093247918945789,5848205.9782
1579093248028702768,5848205.9782
1579093248147460581,5848205.9782
1579093248253158341,5848205.52737
1579093248369708601,5848205.52737
1579093248478996883,5848205.52737
1579093248595183237,5848205.52737
1579093248703572299,5848205.52737
1579093248815991622,5848205.52737
1579093248928494435,5848205.52737
1579093249044994799,5848205.52737
1579093249150277611,5848205.52737
1579093249261913028,5848204.6316
1579093249377270059,5848204.6316
1579093249490065059,5848204.6316
1579093249595952038,5848204.6316
1579093249705705007,5848204.6316
1579093249816305163,5848204.6316
1579093249930101778,5848204.6316
1579093250037199434,5848204.6316
1579093250151461674,5848204.6316
1579093250269662507,5848204.18078
1579093250378671517,5848204.18078
1579093250487422090,5848204.18078
1579093250601460528,5848204.18078
1579093250711375111,5848204.18078
1579093250825656413,5848204.18078
1579093250936672142,5848204.18078
1579093251046124277,5848204.18078
1579093251162325111,5848204.18078
1579093251325244850,5848203.72942
1579093251384095788,5848203.72942
1579093251499588548,5848203.72942
1579093251606886986,5848203.72942
1579093251723168027,5848203.72942
1579093251831428183,5848203.72942
1579093251945916673,5848203.72942
1579093252056823444,5848203.72942
1579093252176173652,5848203.72942
1579093252284003287,5848202.94382
1579093252396064798,5848202.94382
1579093252505183391,5848202.94382
1579093252618490475,5848202.94382
1579093252730691256,5848202.94382
1579093252846676568,5848202.94382
1579093252949571673,5848202.94382
1579093253062962402,5848202.94382
1579093253173185943,5848202.94382
1579093253294619902,5848202.04751
1579093253403703860,5848202.04751
1579093253512340318,5848202.04751
1579093253625079589,5848202.04751
1579093253734022193,5848202.04751
1579093253847163964,5848202.04751
1579093253962823495,5848202.04751
1579093254070083755,5848202.04751
1579093254182677349,5848202.04751
1579093254297452297,5848201.59669
1579093254409258495,5848201.59669
1579093255387976828,5848201.59669
1579093255388165734,5848201.59669
1579093255388291880,5848201.59669
1579093255391744640,5848201.59669
1579093255403785370,5848201.59669
1579093255424129380,5848201.59669
1579093255424381359,5848201.59669
1579093256108708963,5848200.81162
1579093256115005630,5848200.81162
1579093256115235005,5848200.81162
1579093256116341203,5848200.81162
1579093256119004953,5848200.81162
1579093256131122505,5848200.81162
1579093256133180890,5848200.81162
1579093256174954536,5848200.81162
1579093256204895109,5848199.91371
1579093256315842817,5848199.91371
1579093256419679952,5848199.91371
1579093256529535786,5848199.91371
1579093256643751150,5848199.91371
1579093256758943598,5848199.91371
1579093256872232244,5848199.91371
1579093256985649952,5848199.91371
1579093257099528338,5848199.91371
1579093257212479327,5848199.9105
1579093257325052452,5848199.9105
1579093257437073702,5848199.9105
1579093257555601671,5848199.9105
1579093257669370577,5848199.9105
1579093257782036202,5848199.9105
1579093257894798441,5848199.9105
1579093258007286306,5848199.9105
1579093258120864848,5848199.9105
1579093258234136150,5848199.9089
1579093258347156410,5848199.9089
1579093258458731254,5848199.9089
1579093258573271150,5848199.9089
1579093258686393181,5848199.9089
1579093258801094743,5848199.9089
1579093258914308649,5848199.9089
1579093259026636931,5848199.9089
1579093259136620941,5848199.9089
1579093259248947712,5848199.9089
1579093259363917035,5848199.9089
1579093259473716253,5848199.9089
1579093259586821097,5848199.9089
1579093259696988857,5848199.9089
1579093259808362139,5848199.9089
1579093259918861253,5848199.9089
1579093260033112191,5848199.9089
1579093260142432451,5848199.9089
1579093260256823076,5848199.9089
1579093260368728284,5848199.9089
1579093260481179638,5848199.9089
1579093260598391982,5848199.9089
1579093260718081618,5848199.9089
