%time,field.data
1579093237288370637,1.0
1579093237288829439,-4.0
1579093237416791053,-1.0
1579093237515372876,0.0
1579093237635738762,1.0
1579093237749377147,1.0
1579093237857789491,1.0
1579093237970828032,3.0
1579093238080717355,2.0
1579093238190685272,2.0
1579093238304598293,1.0
1579093238423556001,1.0
1579093238526468084,1.0
1579093238643773709,1.0
1579093238752859803,1.0
1579093238864192511,1.0
1579093238976239074,1.0
1579093239088411730,1.0
1579093239198346782,1.0
1579093239306888084,1.0
1579093239420376626,1.0
1579093239529230949,1.0
1579093239649407303,1.0
1579093239754128240,1.0
1579093239868414073,1.0
1579093239974724021,1.0
1579093240090330063,1.0
1579093240210969073,1.0
1579093240313069125,1.0
1579093240420168813,1.0
1579093240532438761,1.0
1579093240642416469,1.0
1579093240755407927,1.0
1579093240866461260,1.0
1579093240975614229,1.0
1579093241088799437,1.0
1579093241201581156,1.0
1579093241314429489,1.0
1579093241427449854,1.0
1579093241538566208,1.0
1579093241653191677,1.0
1579093241766061573,1.0
1579093241878406573,1.0
1579093241988933083,1.0
1579093242104808083,1.0
1579093242215179125,1.0
1579093242328063239,1.0
1579093242440477874,1.0
1579093242551565270,1.0
1579093242656851624,1.0
1579093242770079801,1.0
1579093242876237926,1.0
1579093242990821520,1.0
1579093243101884697,1.0
1579093243214474905,1.0
1579093243332588030,1.0
1579093243438481207,1.0
1579093243553432145,1.0
1579093243672425270,1.0
1579093243782463134,1.0
1579093243889438968,1.0
1579093244004762145,1.0
1579093244113737353,1.0
1579093244227437926,0.0
1579093244337815218,-1.0
1579093244450685686,-1.0
1579093244563910061,-2.0
1579093244677839801,-2.0
1579093244791017821,-2.0
1579093244899907926,-1.0
1579093245011636884,-1.0
1579093245124252926,0.0
1579093245237169436,-2.0
1579093245357000009,0.0
1579093245461708342,3.0
1579093245577969488,3.0
1579093245688741415,4.0
1579093245806004227,4.0
1579093246616244279,5.0
1579093246616405685,5.0
1579093246616532248,5.0
1579093246616658758,4.0
1579093246616783446,4.0
1579093246616910842,3.0
1579093246617033602,3.0
1579093246695535425,2.0
1579093246801812092,2.0
1579093246928199800,2.0
1579093247026112873,2.0
1579093247142330841,2.0
1579093247251468185,2.0
1579093247366704227,2.0
1579093247469061623,2.0
1579093247585481414,2.0
1579093247696782820,1.0
1579093247807452820,1.0
1579093247919197404,1.0
1579093248028842039,0.0
1579093248147209487,-1.0
1579093248253286674,-6.0
1579093248369878653,-4.0
1579093248481108810,-3.0
1579093248594871935,-3.0
1579093248703727664,-4.0
1579093248815798966,-4.0
1579093248928263966,-4.0
1579093249044614851,-4.0
1579093249150078809,-3.0
1579093249264286934,-2.0
1579093249376727872,-1.0
1579093249489853393,0.0
1579093249596166257,3.0
1579093249705913861,2.0
1579093249816131622,2.0
1579093249930297090,2.0
1579093250040569069,3.0
1579093250151578080,3.0
1579093250269298288,3.0
1579093250378866361,4.0
1579093250486350371,3.0
1579093250596427403,3.0
1579093250711982611,3.0
1579093250825876569,5.0
1579093250940795059,4.0
1579093251046286725,3.0
1579093251162481048,1.0
1579093251325493444,2.0
1579093251383779850,2.0
1579093251498935527,2.0
1579093251609727194,1.0
1579093251716239694,0.0
1579093251831591413,-1.0
1579093251945604329,-2.0
1579093252056987350,-2.0
1579093252180346152,3.0
1579093252284128339,0.0
1579093252396219537,-2.0
1579093252505365579,-2.0
1579093252618644381,-2.0
1579093252730823912,-2.0
1579093252846873496,-1.0
1579093252949654068,-1.0
1579093253059225266,3.0
1579093253173901829,2.0
1579093253290927245,2.0
1579093253403915214,5.0
1579093253512193339,4.0
1579093253628973079,5.0
1579093253744105110,5.0
1579093253847734953,6.0
1579093253963324433,6.0
1579093254074432610,6.0
1579093254182478339,6.0
1579093254301975214,5.0
1579093254411575422,5.0
1579093256118275994,3.0
1579093256124116828,3.0
1579093256124249223,3.0
1579093256124374953,3.0
1579093256124495473,3.0
1579093256124642453,2.0
1579093256124769796,2.0
1579093256124917921,1.0
1579093256125038442,1.0
1579093256125162296,1.0
1579093256128443703,1.0
1579093256133390473,1.0
1579093256137874432,1.0
1579093256140057192,1.0
1579093256144113494,1.0
1579093256205038859,1.0
1579093256315918025,1.0
1579093256419622765,1.0
1579093256529668234,1.0
1579093256643911254,1.0
1579093256758778598,1.0
1579093256872410786,1.0
1579093256985775994,1.0
1579093257099702244,1.0
1579093257212351411,1.0
1579093257325157660,1.0
1579093257438130994,1.0
1579093257554141723,1.0
1579093257668250942,1.0
1579093257782166098,1.0
1579093257894926723,1.0
1579093258007317296,1.0
1579093258120993389,1.0
1579093258234264796,1.0
1579093258347020212,1.0
1579093258458930785,1.0
1579093258573322764,1.0
1579093258686120056,1.0
1579093258799930524,1.0
1579093258914225160,1.0
1579093259026778910,1.0
1579093259136815368,1.0
1579093259249164795,1.0
1579093259363959222,0.0
1579093259476088024,-2.0
1579093259585849378,-2.0
1579093259698463076,-1.0
1579093259808707087,0.0
1579093259918850316,0.0
1579093260031555784,0.0
1579093260142644378,1.0
1579093260256564795,1.0
1579093260370188284,1.0
1579093260480335941,-1.0
1579093260597784378,0.0
1579093260717938284,0.0
