%time,field.data
1576772230734437602,351.0
1576772230849549269,351.0
1576772230971842862,352.0
1576772231090092602,352.0
1576772231204429373,352.0
1576772231309258695,351.0
1576772231413253175,351.0
1576772231518993904,351.0
1576772231625044581,351.0
1576772231730969008,352.0
1576772231836883591,352.0
1576772231943203383,352.0
1576772232049544685,352.0
1576772232154994476,352.0
1576772232263925310,352.0
1576772232373818487,353.0
1576772232475372549,352.0
1576772232586242862,353.0
1576772232692443487,353.0
1576772232795906976,352.0
1576772232919091611,352.0
1576772233025759945,352.0
1576772233142701143,352.0
1576772233263129736,352.0
1576772233374549215,352.0
1576772233493922080,352.0
1576772233617374424,352.0
1576772233720453903,352.0
1576772233841206872,352.0
1576772233957716559,352.0
1576772234080145361,352.0
1576772234190598330,352.0
1576772234302950309,353.0
1576772234532460100,352.0
1576772234532653955,352.0
1576772234653018330,352.0
1576772234770414059,352.0
1576772234880975986,352.0
1576772234996554632,353.0
1576772235115558798,353.0
1576772235229559319,351.0
1576772235346108329,351.0
1576772235460079527,351.0
1576772235571451506,351.0
1576772235690414423,351.0
1576772235924713017,351.0
1576772236145313173,352.0
1576772236146266923,352.0
1576772236178818642,352.0
1576772236267477235,352.0
1576772236392355152,352.0
1576772236505625881,352.0
1576772236633924110,352.0
1576772236738092808,352.0
1576772236864305204,352.0
1576772236998949422,352.0
1576772237080232079,352.0
1576772237196818433,352.0
1576772237327776089,352.0
1576772237430113849,352.0
1576772237544326349,352.0
1576772237662818328,352.0
1576772237778654214,352.0
1576772237888285099,352.0
1576772238001899057,352.0
1576772238123589995,352.0
1576772238240470203,352.0
1576772238342151870,352.0
1576772238453676193,352.0
1576772238569609578,352.0
1576772238694354213,352.0
1576772238801915411,352.0
1576772238913725776,352.0
1576772239028968120,352.0
1576772239141402651,352.0
1576772239251139838,352.0
1576772239369424526,352.0
1576772239475771453,352.0
1576772239590672286,352.0
1576772239705565723,352.0
1576772239815754526,351.0
1576772239926619057,352.0
1576772240050241609,352.0
1576772240155322494,351.0
1576772240272733692,351.0
1576772240397869473,351.0
1576772240511359004,351.0
1576772240620196296,351.0
1576772240734498952,351.0
1576772240850220879,352.0
1576772240961167025,351.0
1576772241077973588,351.0
1576772241189879108,351.0
1576772241624929473,351.0
1576772241626120098,351.0
1576772241626822389,351.0
1576772241645678431,351.0
1576772241760639473,351.0
1576772241873719316,351.0
1576772241984857546,351.0
1576772242095598170,351.0
1576772242239972285,351.0
1576772242344638379,350.0
1576772242450205931,347.0
1576772242563130722,347.0
1576772242673185722,349.0
1576772242783219160,352.0
1576772242890163483,353.0
1576772243005268378,353.0
1576772243116900253,355.0
1576772243240929264,0.0
1576772243353097597,358.0
1576772243467072232,3.0
1576772243580178691,4.0
1576772243711443430,12.0
1576772243799255930,16.0
1576772243908745670,16.0
1576772244022071191,7.0
1576772244136682336,17.0
1576772244268217232,18.0
1576772244371454576,16.0
1576772244485504628,16.0
1576772244601408170,25.0
1576772244705960357,23.0
1576772244830418638,22.0
1576772244931126086,30.0
1576772245039534315,28.0
1576772245151729732,33.0
1576772245264846711,42.0
1576772245374943273,40.0
1576772245489675878,40.0
1576772245601069627,48.0
1576772245738933534,46.0
