%time,field.data
1576772230849690466,-2.429946
1576772230963937446,-2.429946
1576772231083867498,-2.429946
1576772231204250518,-2.429946
1576772231307869320,-2.429946
1576772231413152393,-2.429944
1576772231518911664,-2.429944
1576772231624908331,-2.429944
1576772231730844529,-2.429944
1576772231836826716,-2.429944
1576772231943008643,-2.429944
1576772232049474528,-2.429944
1576772232154911560,-2.429944
1576772232261289841,-2.429944
1576772232369040935,-2.429944
1576772232475315205,-2.429944
1576772232586168018,-2.429944
1576772232692244632,-2.429944
1576772232802406143,-2.429944
1576772232918402757,-2.429944
1576772233023276195,-2.429944
1576772233141350101,-2.429944
1576772233262950413,-2.429944
1576772233374284007,-2.429944
1576772233493754684,-2.429943
1576772233609659267,-2.429943
1576772233720007288,-2.429943
1576772233840849424,-2.429943
1576772233953882965,-2.429943
1576772234077573746,-2.429943
1576772234185498330,-2.429943
1576772234302629788,-2.429943
1576772234417820465,-2.429943
1576772234533794580,-2.429942
1576772234652818173,-2.429942
1576772234766324267,-2.429942
1576772234880773017,-2.429942
1576772234996221507,-2.429942
1576772235115374059,-2.429942
1576772235229303434,-2.429942
1576772235341281454,-2.429942
1576772235455753329,-2.429942
1576772235570978694,-2.429942
1576772235691700360,-2.429942
1576772235922339006,-2.429942
1576772235923137912,-2.429942
1576772236204815933,-2.429942
1576772236206596037,-2.429942
1576772236262740881,-2.429942
1576772236389301871,-2.429942
1576772236504566350,-2.429942
1576772236624129631,-2.429942
1576772236737688954,-2.429942
1576772236861692079,-2.429942
1576772236998017704,-2.429942
1576772237079835672,-2.429942
1576772237195841349,-2.429942
1576772237312376870,-2.429942
1576772237429828276,-2.429942
1576772237543830464,-2.429942
1576772237656615881,-2.429942
1576772237778260047,-2.429942
1576772237887947443,-2.429942
1576772238001204474,-2.429942
1576772238119357755,-2.429942
1576772238240304214,-2.429942
1576772238339945984,-2.429942
1576772238451064318,-2.429942
1576772238564753328,-2.429941
1576772238683117338,-2.429941
1576772238796124213,-2.429941
1576772238913071193,-2.429941
1576772239026426765,-2.429941
1576772239140374682,-2.429941
1576772239251625619,-2.429941
1576772239367331140,-2.429941
1576772239475498328,-2.42994
1576772239586497494,-2.42994
1576772239699512807,-2.42994
1576772239815576765,-2.42994
1576772239924442338,-2.42994
1576772240049278328,-2.42994
1576772240155058692,-2.42994
1576772240272539005,-2.42994
1576772240397694525,-2.42994
1576772240501854213,-2.42994
1576772240620186036,-2.42994
1576772240731804681,-2.42994
1576772240849985723,-2.42994
1576772240957667754,-2.42994
1576772241074233588,-2.42994
1576772241186330931,-2.42994
1576772241624171869,-2.42994
1576772241624302337,-2.42994
1576772241624429421,-2.42994
1576772241645506764,-2.42994
1576772241760090723,-2.42994
1576772241877047598,-2.42994
1576772241985402077,-2.42994
1576772242096277858,-2.42994
1576772242245142650,-2.42994
1576772242343558431,-2.42994
