%time,field.data
1576772427067479402,-83.4232825261
1576772427169066017,-77.4232825261
1576772427274676850,-76.4232825261
1576772427862856850,-79.4232825261
1576772427862982162,-86.4232825261
1576772427863134870,-85.9831943562
1576772427863260391,-86.9831943562
1576772427863410652,-90.9831943562
1576772427896952423,-85.9831943562
1576772427998431537,-73.9831943562
1576772428097495235,-64.9831943562
1576772428203858464,-61.9831943562
1576772428307803881,-61.9831943562
1576772428409790547,-64.9831943562
1576772428512331797,-64.9831943562
1576772428615769401,-64.8539447587
1576772429262512787,-65.8539447587
1576772429262596485,-66.8539447587
1576772429262655443,-63.8539447587
1576772429262696016,-57.8539447587
1576772429271137474,-53.8539447587
1576772429279253620,-54.8539447587
1576772429338994766,-55.8539447587
1576772429443327787,-53.8539447587
1576772429547222005,-53.231483527
1576772429650918151,-56.231483527
1576772429755801224,-58.231483527
1576772429862623099,-58.231483527
1576772429970173932,-55.231483527
1576772430068002578,-54.231483527
1576772430171421849,-52.231483527
1576772430277403776,-34.231483527
1576772430381385859,-26.231483527
1576772430484051953,-25.231483527
1576772430586284453,-25.7588352027
1576772430691707369,-27.7588352027
1576772430799029401,-29.7588352027
1576772430918111380,-30.7588352027
1576772431002396328,-31.7588352027
1576772431109537161,-33.7588352027
1576772431212676900,-33.7588352027
1576772431315789921,-32.7588352027
1576772431418001848,-29.7588352027
1576772431521735234,-28.5666899381
1576772431625519244,-27.5666899381
1576772431730132369,-28.5666899381
1576772431836241692,-29.5666899381
1576772431937830077,-29.5666899381
1576772432364975233,-29.5666899381
1576772432367615442,-31.5666899381
1576772432367735077,-36.5666899381
1576772432368125337,-36.5666899381
1576772432460108306,-43.5666899381
1576772432560709660,-13.7946565039
1576772432663562577,-19.7946565039
1576772432768657942,-19.7946565039
1576772432872328619,-22.7946565039
1576772432975155441,-3.79465650393
1576772433083806796,-2.79465650393
1576772433183152785,4.20534349607
1576772433287604191,18.2053434961
1576772433395672004,18.2053434961
1576772433495736587,8.20534349607
1576772433598181275,9.46623668959
1576772433702482733,6.46623668959
1576772433807007264,28.4662366896
1576772433909492264,23.4662366896
1576772434013619035,19.4662366896
1576772434116943097,15.4662366896
1576772434221371795,20.4662366896
1576772434334086274,25.4662366896
1576772434430211170,39.4662366896
1576772434535044555,42.9041804619
1576772434640664347,42.9041804619
1576772434744618410,25.9041804619
1576772434845499451,35.9041804619
1576772434948714555,42.9041804619
1576772435052508878,44.9041804619
1576772435156642420,43.9041804619
1576772435260636066,54.9041804619
1576772435363860961,50.9041804619
1576772435474083722,48.5834887683
1576772435573725753,62.5834887683
1576772435676033878,62.5834887683
1576772435779776951,65.5834887683
1576772435885029451,71.5834887683
1576772435987350232,69.5834887683
1576772436090204034,64.5834887683
1576772436196425805,63.5834887683
1576772436297185440,65.5834887683
1576772436402040232,67.5834887683
1576772436506488409,75.36666467
1576772436610201846,81.36666467
1576772436716336482,81.36666467
1576772436818854450,76.36666467
1576772436921886482,76.36666467
1576772437025409086,83.36666467
1576772437129028357,84.36666467
1576772437233417211,76.36666467
1576772437336727106,76.36666467
1576772437442478096,72.36666467
1576772437552588565,74.9973883505
1576772437654558981,69.9973883505
1576772437758580960,74.9973883505
1576772437859366794,74.9973883505
1576772437967094137,76.9973883505
1576772438061845856,69.9973883505
1576772438165165960,66.9973883505
1576772438268618721,73.9973883505
1576772438371885127,64.9973883505
1576772438475310596,76.9973883505
1576772438578838512,76.0990135789
1576772438683821325,85.0990135789
1576772438787112002,62.0990135789
1576772438891182991,49.0990135789
1576772438999258668,50.0990135789
1576772439097553772,50.0990135789
1576772439200984397,53.0990135789
1576772439304163720,55.0990135789
1576772439408314345,58.0990135789
1576772439509917731,41.0990135789
1576772439613193303,44.5840435838
1576772439717519501,29.5840435838
1576772439820838928,35.5840435838
1576772439924497522,20.5840435838
1576772440034257105,20.5840435838
1576772440131563199,27.5840435838
1576772440236169397,24.5840435838
1576772440341922939,20.5840435838
1576772440589847834,33.5840435838
1576772440593005959,24.5840435838
1576772440649187105,1.33221959892
1576772440754958668,7.33221959892
1576772440857439918,-2.66778040108
1576772440962648615,-8.66778040108
1576772441065969970,-8.66778040108
1576772441164706324,-9.66778040108
1576772441268422157,-20.6677804011
1576772441374821272,-12.6677804011
1576772441476517782,-8.60838761177
1576772441580248146,-20.6083876118
1576772441688502626,-26.6083876118
1576772441795362313,-25.6083876118
1576772441902848876,-8.60838761177
1576772441996110438,-20.6083876118
1576772442105434605,-25.6083876118
1576772442211525230,-25.6083876118
1576772442308933719,-24.6083876118
1576772442412879032,-32.6083876118
1576772442516367782,-41.2909614387
1576772442620321063,-44.2909614387
1576772442725410073,-38.2909614387
1576772442848088875,-41.2909614387
1576772442943950438,-51.2909614387
1576772443039074813,-48.2909614387
1576772443141585229,-34.2909614387
1576772443243919292,-48.2909614387
1576772443346945333,-55.2909614387
1576772443450482312,-59.0368446283
1576772443549815698,-60.0368446283
1576772443657482833,-53.0368446283
1576772443760752625,-53.0368446283
1576772443862454396,-52.0368446283
1576772443972948823,-54.0368446283
1576772444068905646,-55.0368446283
1576772444179639031,-57.0368446283
1576772444379447833,-60.0368446283
1576772444389064916,-66.0368446283
1576772444486006062,-56.7482489606
1576772444599625124,-62.7482489606
1576772444709454968,-51.7482489606
1576772444813508718,-49.7482489606
1576772444931091062,-49.7482489606
1576772445039129864,-54.7482489606
1576772445136968093,-49.7482489606
1576772445246468614,-41.7482489606
1576772445349607676,-41.7482489606
1576772445450155593,-46.7482489606
1576772445549760749,-51.527078661
1576772445653815801,-41.527078661
1576772445755490437,-37.527078661
1576772445864236582,-28.527078661
1576772445963615541,-42.527078661
1576772446072345593,-32.527078661
1576772446178237468,-34.527078661
1576772446279662988,-40.527078661
1576772446386139395,-40.527078661
1576772446500467259,-33.7512217107
1576772446603933145,-33.7512217107
1576772446702475749,-32.7512217107
1576772446803784186,-35.7512217107
1576772446905479759,-37.7512217107
1576772447009720019,-28.7512217107
1576772447119518561,-29.7512217107
1576772447229507311,-27.7512217107
1576772447323085592,-30.7512217107
1576772447426192832,-26.7512217107
1576772447527477415,-23.1198231229
1576772447630437780,-25.1198231229
1576772447738169602,-27.1198231229
1576772447841573873,-29.1198231229
1576772447949108040,-29.1198231229
1576772448051956582,-31.1198231229
1576772448167802831,-31.1198231229
1576772448259669915,-31.1198231229
1576772448363330904,-26.1198231229
1576772448467948144,-19.1198231229
1576772448570070956,-18.463534418
1576772448677329185,-18.463534418
1576772448785659342,-19.463534418
1576772448889150383,-20.463534418
1576772448986186789,-20.463534418
1576772449089845435,-20.463534418
1576772449192999914,-20.463534418
1576772449298395644,-19.463534418
1576772449400587831,-19.463534418
1576772449503801633,-17.463534418
1576772449607746477,-16.1336845474
1576772449710821477,-16.1336845474
1576772449818803560,-16.1336845474
1576772449918597414,-16.1336845474
1576772450022863925,-17.1336845474
